time,in,out,customer,line
2023-06-01 00:00:00,278.55,284.39,A,65
2023-06-01 00:15:00,267.43,272.96,A,65
2023-06-01 00:30:00,276.9,282.79,A,65
2023-06-01 00:45:00,279.23,285.12,A,65
2023-06-01 01:00:00,288.21,294.01,A,65
2023-06-01 01:15:00,279.12,284.79,A,65
2023-06-01 01:30:00,269.83,275.56,A,65
2023-06-01 01:45:00,288.49,294.25,A,65
2023-06-01 02:00:00,288.27,294.24,A,65
2023-06-01 02:15:00,279.13,284.88,A,65
2023-06-01 02:30:00,262.67,268.23,A,65
2023-06-01 02:45:00,278.94,284.63,A,65
2023-06-01 03:00:00,288.25,294.3,A,65
2023-06-01 03:15:00,279.33,285.22,A,65
2023-06-01 03:30:00,285.39,291.24,A,65
2023-06-01 03:45:00,272.02,277.91,A,65
2023-06-01 04:00:00,279.42,285.31,A,65
2023-06-01 04:15:00,278.9,284.33,A,65
2023-06-01 04:30:00,277.61,283.44,A,65
2023-06-01 04:45:00,273.4,279.34,A,65
2023-06-01 05:00:00,274.16,279.64,A,65
2023-06-01 05:15:00,276.9,282.68,A,65
2023-06-01 05:30:00,276.2,282.14,A,65
2023-06-01 05:45:00,274.75,280.43,A,65
2023-06-01 06:00:00,279.1,284.69,A,65
2023-06-01 06:15:00,279.18,285.12,A,65
2023-06-01 06:30:00,279.08,284.88,A,65
2023-06-01 06:45:00,278.85,284.43,A,65
2023-06-01 07:00:00,279.27,285.11,A,65
2023-06-01 07:15:00,279.18,284.97,A,65
2023-06-01 07:30:00,272.7,278.33,A,65
2023-06-01 07:45:00,277.98,283.71,A,65
2023-06-01 08:00:00,279.37,285.26,A,65
2023-06-01 08:15:00,279.2,284.79,A,65
2023-06-01 08:30:00,272.99,278.72,A,65
2023-06-01 08:45:00,276.95,282.79,A,65
2023-06-01 09:00:00,273.01,278.84,A,65
2023-06-01 09:15:00,269.62,274.99,A,65
2023-06-01 09:30:00,276.1,282.32,A,65
2023-06-01 09:45:00,279.63,285.45,A,65
2023-06-01 10:00:00,271.83,277.17,A,65
2023-06-01 10:15:00,279.23,284.56,A,65
2023-06-01 10:30:00,277.76,283.6,A,65
2023-06-01 10:45:00,273.11,278.69,A,65
2023-06-01 11:00:00,279.04,284.88,A,65
2023-06-01 11:15:00,279.32,285.11,A,65
2023-06-01 11:30:00,278.9,284.43,A,65
2023-06-01 11:45:00,279.27,285.16,A,65
2023-06-01 12:00:00,279.18,284.92,A,65
2023-06-01 12:15:00,278.82,284.5,A,65
2023-06-01 12:30:00,279.07,284.85,A,65
2023-06-01 12:45:00,279.23,285.02,A,65
2023-06-01 13:00:00,276.23,282.02,A,65
2023-06-01 13:15:00,274.83,280.36,A,65
2023-06-01 13:30:00,278.99,284.88,A,65
2023-06-01 13:45:00,279.33,285.27,A,65
2023-06-01 14:00:00,279.0,284.56,A,65
2023-06-01 14:15:00,278.93,284.63,A,65
2023-06-01 14:30:00,279.18,285.12,A,65
2023-06-01 14:45:00,279.01,284.7,A,65
2023-06-01 15:00:00,278.91,284.54,A,65
2023-06-01 15:15:00,279.18,285.03,A,65
2023-06-01 15:30:00,279.46,285.3,A,65
2023-06-01 15:45:00,278.85,284.36,A,65
2023-06-01 16:00:00,279.04,284.85,A,65
2023-06-01 16:15:00,279.23,285.11,A,65
2023-06-01 16:30:00,278.86,284.48,A,65
2023-06-01 16:45:00,279.22,285.01,A,65
2023-06-01 17:00:00,278.13,283.93,A,65
2023-06-01 17:15:00,272.89,278.55,A,65
2023-06-01 17:30:00,279.02,284.73,A,65
2023-06-01 17:45:00,279.08,284.97,A,65
2023-06-01 18:00:00,278.78,284.38,A,65
2023-06-01 18:15:00,283.09,288.92,A,65
2023-06-01 18:30:00,278.69,284.48,A,65
2023-06-01 18:45:00,272.99,278.91,A,65
2023-06-01 19:00:00,277.85,283.32,A,65
