,Time,usage,region,time_idx,month,day,hour,minute
0,2005-06-07 07:00:00,3562.279127,eu,0,6,7,7,0
1,2005-06-07 07:05:00,3710.215571,eu,1,6,7,7,5
2,2005-06-07 07:10:00,3877.469703,eu,2,6,7,7,10
3,2005-06-07 07:15:00,3876.354871,eu,3,6,7,7,15
4,2005-06-07 07:20:00,4582.542581,eu,4,6,7,7,20
5,2005-06-07 07:25:00,5016.336869,eu,5,6,7,7,25
6,2005-06-07 07:30:00,5202.513642,eu,6,6,7,7,30
7,2005-06-07 07:35:00,5410.604985,eu,7,6,7,7,35
8,2005-06-07 07:40:00,5408.07132,eu,8,6,7,7,40
9,2005-06-07 07:45:00,5598.04888,eu,9,6,7,7,45
10,2005-06-07 07:50:00,5268.183974,eu,10,6,7,7,50
11,2005-06-07 07:55:00,5205.96591,eu,11,6,7,7,55
12,2005-06-07 08:00:00,5554.284558,eu,12,6,7,8,0
13,2005-06-07 08:05:00,6071.804752,eu,13,6,7,8,5
14,2005-06-07 08:10:00,6533.409311,eu,14,6,7,8,10
15,2005-06-07 08:15:00,6432.612096,eu,15,6,7,8,15
16,2005-06-07 08:20:00,6422.634291,eu,16,6,7,8,20
17,2005-06-07 08:25:00,6413.343245,eu,17,6,7,8,25
18,2005-06-07 08:30:00,6438.472853,eu,18,6,7,8,30
19,2005-06-07 08:35:00,6593.321117,eu,19,6,7,8,35
20,2005-06-07 08:40:00,6386.798311,eu,20,6,7,8,40
21,2005-06-07 08:45:00,6402.829429,eu,21,6,7,8,45
22,2005-06-07 08:50:00,6448.640206,eu,22,6,7,8,50
23,2005-06-07 08:55:00,6758.012799,eu,23,6,7,8,55
24,2005-06-07 09:00:00,6897.537181,eu,24,6,7,9,0
25,2005-06-07 09:05:00,6625.683956,eu,25,6,7,9,5
26,2005-06-07 09:10:00,6786.593033,eu,26,6,7,9,10
27,2005-06-07 09:15:00,6741.090851,eu,27,6,7,9,15
28,2005-06-07 09:20:00,6857.892154,eu,28,6,7,9,20
29,2005-06-07 09:25:00,6885.633911,eu,29,6,7,9,25
30,2005-06-07 09:30:00,7036.186201,eu,30,6,7,9,30
